ENG,URDU
khatoon,خاتون
hawalajaat,حوالہ جات
ki,کی
cric,کرکٹ
khiladi,کھلاڑی
hein,ہیں
ghairmaujood,غیرموجود
ko,کو
test,ٹیسٹ
paida,پیدا
hoeen,ہوئیں
mein,میں
pakistan,پاکستان
pakistani,پاکستانی
lahore,لاہور
karachi,کراچی
islamabad,اسلام آباد
sialkot,سیالکوٹ
unho,انھوں
nay,نے
t20,ٹی ٹوئنٹی
aur,اور
one,ون ڈے
khaili,کھیلی
hai,ہے
wo,وہ
bat,بلے بازی
rhb,دائیں ہاتھ سے
bowler, گیند باز
karti,کرتی
international,بین الاقوامی
sata,سطح
par,پر
majmoi,مجموعی
taur,طور
khailay,کھیلے
offbreak,آف بریک
achi,اچھی
australia,آسٹریلیا
western,مغربی
january,جنوری
jan,جنوری
february,فروری
feb,فروری
march,مارچ
mar,مارچ
april,اپریل
apr,اپریل
may,مئی
june,جون
july,جولائی
august,اگست
aug,اگست
september,ستمبر
sep,ستمبر
october,اکتوبر
oct,اکتوبر
november,نومبر
nov,نومبر
december,دسمبر
dec,دسمبر 
